RC	6	d-A	NA	\qitem{Der Friseur des Regisseurs, der einen ausgezeichneten Ruf hatte, ist unbestimmt verzogen.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Friseur respektiert wurde?}	2	2
filler	45	-	N	\qitem{Gestern hat Maria keine Bücher gelesen.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Bücher gestern schon von Maria gelesen worden sind?}	2	2
RC	15	e-B	NA	\qitem{Der Angestellte der Bäckerin, die regelmässig starke Hustenanfälle hat, überlegt zu kündigen.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Bäckerin oft hustet?}	1	2
filler	61	-	Y	\qitem{Der Student, der gestern abgeschrieben hat, ist nicht erwischt worden, obwohl er recht auffällig war.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Student bei der gestrigen Klausur mitgeschrieben hat?}	1	1
RC	12	a-A	NA	\qitem{Die Schwiegertochter der Gitarristin, die einen ausgezeichneten Geschmack hatte, lachte eigentlich ständig.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Schwiegertochter einen guten Geschmack hatte?}	1	1
filler	49	-	N	\qitem{Matthias beeilte sich mit der Gartenarbeit, damit er rechtzeitig zum Fußballspiel fertig wurde.}{Wurde hier gesagt oder möglicherweise gemeint, dass Matthias ein Basketballspiel sehen wollte?}	2	2
RC	35	a-B	NA	\qitem{Die Optikerin der Verkäuferin, die eine schwerwiegende Depression hatte, wurde überfallen.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Verkäuferin depressiv war?}	2	2
filler	21	-	Y	\qitem{Dem Anwalt, der die Minister, weil er keinen von ihnen mochte, verklagte, wurde die Zulassung entzogen.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Anwalt sich einen neuen Beruf suchen muss?}	2	1
RC	34	b-A	NA	\qitem{Die Cousine des Schriftstellers, der eine tragische Vergangenheit hatte, fährt einen BMW.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Cousine eine schlimme Vergangenheit hatte?}	2	2
filler	35	-	N	\qitem{Der Nachbar hat nie den Rasen gemäht, auch wenn der gar nicht gut aussieht.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Nachbar den Rasen gemäht hat?}	2	2
RC	11	a-B	NA	\qitem{Die Vertraute der Richterin, die viele gute Einfälle hatte, kannte viele Geheimnisse.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Richterin kreativ war?}	1	2
RC	18	d-A	NA	\qitem{Der Pfleger des Rentners, der eine aufdringliche Art hatte, hat letzten Monat geheiratet.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Pfleger Leuten zu nahe kam?}	2	1
