filler	35	-	N	\qitem{Der Nachbar hat nie den Rasen gemäht, auch wenn der gar nicht gut aussieht.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Nachbar den Rasen gemäht hat?}	2	2
filler	1	-	Y	\qitem{Die meisten wissen, dass man sich mit Ina und Marie unterhalten kann, wenn man ihnen einen Kaffee zahlt.}{Wurde hier gesagt oder möglicherweise gemeint, dass Ina und Marie Kaffee trinken?}	1	1
filler	69	-	Y	\qitem{Alfons, dem niemand zugetraut hätte vor Publikum aufzutreten, legte eine beeindruckende Show hin.}{Wurde hier gesagt oder möglicherweise gemeint, dass Alfons aufgetreten ist?}	1	1
RC	11	c-B	NA	\qitem{Die Vertraute des Richters, die viele gute Einfälle hatte, kannte viele Geheimnisse.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Richter kreativ war?}	2	2
filler	39	-	Y	\qitem{Ein Arzt, der keinem Patienten zuhört, ist immer schlecht.}{Wurde hier gesagt oder möglicherweise gemeint, dass ein zuhörender Arzt gut ist?}	2	2
RC	36	c-A	NA	\qitem{Die Visagistin des Bürgermeisters, die beeindruckend viel Ehrgeiz hatte, schrieb Gedichte.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Visagistin ehrgeizig war?}	1	1
RC	12	c-A	NA	\qitem{Die Schwiegertochter des Gitarristen, die einen ausgezeichneten Geschmack hatte, lachte eigentlich ständig.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Schwiegertochter einen guten Geschmack hatte?}	1	1
filler	45	-	N	\qitem{Gestern hat Maria keine Bücher gelesen.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Bücher gestern schon von Maria gelesen worden sind?}	2	2
RC	15	a-B	NA	\qitem{Die Angestellte der Bäckerin, die regelmässig starke Hustenanfälle hat, überlegt zu kündigen.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Bäckerin oft hustet?}	1	1
RC	5	f-B	NA	\qitem{Der Sohn der Forscherin, der schwere gesundheitliche Probleme hatte, spielte gerne Schach.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Forscherin unter gesundheitlichen Problemen litt?}	2	2
RC	21	d-B	NA	\qitem{Der Assistent des Zahnarztes, der einen eigenwilligen Haarschnitt hatte, war sehr selbstbewußt.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Zahnarzt einen Irokesen hatte?}	2	2
RC	27	a-B	NA	\qitem{Die Ärztin der Bäuerin, die weithin bekannte Vorfahren hatte, war sehr neugierig.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Bäuerin bekannte Vorfahren hatte?}	2	1
RC	2	b-A	NA	\qitem{Die Buchhalterin des Unternehmers, die viel goldenen Schmuck hat, hat momentan Urlaub.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Buchhalterin viel Goldschmuck hat?}	1	1
filler	63	-	Y	\qitem{Der Obdachlose, mit dem Martin sich gestern unterhalten hat, hat sehr interessante Geschichten erzählt.}{Wurde hier gesagt oder möglicherweise gemeint, dass Martin gut unterhalten wurde?}	2	1
filler	23	-	N	\qitem{Die Einhörner, die man sucht, obwohl man nie eines von ihnen gesehen hat, sollte man endlich in Ruhe lassen.}{Wurde hier gesagt oder möglicherweise gemeint, dass man Bären meist vergeblich sucht?}	2	2
RC	13	b-B	NA	\qitem{Die Bedienstete des Grafen, der extrem laute Kinder hatte, konnte nicht mehr.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Graf Kinder hatte?}	1	1
