filler	55	-	N	\qitem{Am Sonntag verkaufte der Bäcker so viele Brötchen, dass er sich am Montag einen freien Tag leisten konnte.}{Wurde hier gesagt oder möglicherweise gemeint, dass das Geschäft am Sonntag schlecht lief?}	2	2
RC	26	a-B	NA	\qitem{Die Freundin der Tänzerin, die eine unheilbare Krankheit hatte, hört gerne Rockmusik.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Tänzerin schwer krank war?}	2	2
RC	19	e-A	NA	\qitem{Der Anwalt der Angeklagten, die kein bisschen Anstand hatte, hat sich verspätet.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Anwalt hämisch grinste?}	2	2
filler	21	-	Y	\qitem{Dem Anwalt, der die Minister, weil er keinen von ihnen mochte, verklagte, wurde die Zulassung entzogen.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Anwalt sich einen neuen Beruf suchen muss?}	1	1
filler	43	-	N	\qitem{Mit viel Interesse ist keiner bei der Arbeit.}{Wurde hier gesagt oder möglicherweise gemeint, dass alle gerne arbeiten?}	2	2
filler	19	-	Y	\qitem{Dem Manager, der die Hälfte der Belegschaft entließ, wurden von einigen von ihnen Drohbriefe geschickt.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Manager Post bekam?}	1	1
RC	4	f-B	NA	\qitem{Der Kollege der Detektivin, der einen großen Hund hatte, hatte öfter Probleme mit dem Finanzamt.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Detektivin einen großen Hund hatte?}	2	2
filler	61	-	Y	\qitem{Der Student, der gestern abgeschrieben hat, ist nicht erwischt worden, obwohl er recht auffällig war.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Student bei der gestrigen Klausur mitgeschrieben hat?}	1	1
RC	33	d-A	NA	\qitem{Der Mentor des Doktoranden, der zwei kleine Kinder hatte, war kurz vor dem Verzweifeln.}{Wurde hier gesagt oder möglicherweise gemeint, dass der Mentor Kinder hatte?}	1	1
RC	25	b-A	NA	\qitem{Die Tante des Kassierers, der ein auffälliges Muttermal hatte, hat das Rauchen aufgegeben.}{Wurde hier gesagt oder möglicherweise gemeint, dass die Tante ein grosses Muttermal hatte?}	1	2
